ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,0u1,,,,,,,,
C2,47n,,,,,,,,
C3,47n,,,,,,,,
C4,47n,,,,,,,,
C5,47n,,,,,,,,
C6,0u1,,,,,,,,
C7,47n,,,,,,,,
C8,47n,,,,,,,,
C9,47n,,,,,,,,
C10,47n,,,,,,,,
C11,0.1u,,,,,,,,
C12,0.1u,,,,,,,,
C13,0u22,,,,,,,,
C14,0u1,,,,,,,,
C15,0u1,,,,,,,,
C16,100u,,,,,,,,
C17,0u1,,,,,,,,
C18,10u,,,,,,,,
C19,10u,,,,,,,,
C20,0u22,,,,,,,,
C21,0u22,,,,,,,,
C22,100u,,,,,,,,
C23,0u1,,,,,,,,
C24,0u1,,,,,,,,
C25,47n,,,,,,,,
C26,0u22,,,,,,,,
C27,47n,,,,,,,,
C28,47n,,,,,,,,
C29,47n,,,,,,,,
C30,0u22,,,,,,,,
C31,0u1,,,,,,,,
C32,100u,,,,,,,,
C33,0u22,,,,,,,,
C34,0u1,,,,,,,,
C35,0u1,,,,,,,,
C36,0u22,,,,,,,,
C37,100u,,,,,,,,
C38,0u1,,,,,,,,
C39,0u22,,,,,,,,
C40,0u1,,,,,,,,
C41,0u1,,,,,,,,
C42,0u1,,,,,,,,
C43,47n,,,,,,,,
C44,47n,,,,,,,,
C45,47n,,,,,,,,
C46,47n,,,,,,,,
C47,0u1,,,,,,,,
C48,0u1,,,,,,,,
C49,0u1,,,,,,,,
C55,0u1,,,,,,,,
C56,0u1,,,,,,,,
C75,0u1,,,,,,,,
C77,0u1,,,,,,,,
C92,100u,,,,,,,,
C94,100u,,,,,,,,
D1,Blue LED,,,,,,,,
D2,Green LED,,,,,,,,
D3,red LED,,,,,,,,
D4,red LED,,,,,,,,
D5,LED,,,,,,,,
D6,LED,,,,,,,,
D7,LED,,,,,,,,
D8,LED,,,,,,,,
D9,LED,,,,,,,,
D12,LED,,,,,,,,
J1,EXPANSION,,,,,,,,
J2,VREF,,,,,,,,
J3,VREF,,,,,,,,
J4,PWR,,,,,,,,
J5,E2 H&T,,,,,,,,
J6,SPADE1,,,,,,,,
J7,SPADE1,,,,,,,,
J8,E2 MOT/STOP,,,,,,,,
J9,E1 MOT/STOP,,,,,,,,
J10,E0 COOL,,,,,,,,
J11,E0 TEMP,,,,,,,,
J12,E1 H&T,,,,,,,,
J13,FAN_0,,,,,,,,
J14,E0 MOT/STOP,,,,,,,,
J15,E0 MOT/STOP,,,,,,,,
J16,VREF,,,,,,,,
J17,VREF,,,,,,,,
J18,E3 MOT/STOP,,,,,,,,
J19,E0 HEAT,,,,,,,,
J20,E4 MOT/STOP,,,,,,,,
J21,PWR,,,,,,,,
J27,TP,,,,,,,,
J28,Probe,,,,,,,,
P1,STEP,,,,,,,,
P2,E0 H&T,,,,,,,,
R1,4k7,,,,,,,,
R2,680R,,,,,,,,
R3,470R,,,,,,,,
R4,470R,,,,,,,,
R5,10K,,,,,,,,
R6,10K,,,,,,,,
R7,100k,,,,,,,,
R8,10k,,,,,,,,
R9,0R,,,,,,,,
R10,0R1,,,,,,,,
R11,0R1,,,,,,,,
R12,100k,,,,,,,,
R13,10k,,,,,,,,
R14,0R,,,,,,,,
R15,0R1,,,,,,,,
R16,0R1,,,,,,,,
R17,100R,,,,,,,,
R18,470R,,,,,,,,
R19,4K7,,,,,,,,
R20,220R,,,,,,,,
R21,4K7,,,,,,,,
R22,470R,,,,,,,,
R23,220R,,,,,,,,
R24,680R,,,,,,,,
R25,100R,,,,,,,,
R26,100k,,,,,,,,
R27,10k,,,,,,,,
R28,680R,,,,,,,,
R30,0R,,,,,,,,
R32,0R1,,,,,,,,
R34,0R1,,,,,,,,
R37,2k7,,,,,,,,
R38,100k,,,,,,,,
R39,10k,,,,,,,,
R42,0R,,,,,,,,
R44,0R1,,,,,,,,
R46,0R1,,,,,,,,
R56,100R,,,,,,,,
R57,100R,,,,,,,,
R65,4k7,,,,,,,,
R66,10k,,,,,,,,
R67,4k7,,,,,,,,
R69,680R,,,,,,,,
R72,680R,,,,,,,,
R77,100k,,,,,,,,
R78,100k,,,,,,,,
TR1,BSH105,,,,,,,,
TR2,IPD036N04L,,,,,,,,
TR3,BSH105,,,,,,,,
TR4,IPD036N04L,,,,,,,,
U1,A4982SLPTR,,,,,,,,
U2,A4982SLPTR,,,,,,,,
U5,A4982SLPTR,,,,,,,,
U7,A4982SLPTR,,,,,,,,
U9,MCP44X1,,,,,,,,
